match_id,season,match_date,venue,team1,team2,winner,toss_winner
M207,2026,12-10-2026,Rajiv Gandhi Intl Stadium,Rajasthan Royals,Lucknow Super Giants,Lucknow Super Giants,Rajasthan Royals
M208,2026,13-10-2026,Narendra Modi Stadium,Mumbai Indians,Punjab Kings,Punjab Kings,Mumbai Indians
M209,2026,14-10-2026,Rajiv Gandhi Intl Stadium,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders
M210,2026,15-10-2026,Wankhede Stadium,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,Mumbai Indians
M211,2026,16-10-2026,M. A. Chidambaram Stadium,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,Delhi Capitals
M212,2026,17-10-2026,Wankhede Stadium,Gujarat Titans,Kolkata Knight Riders,Kolkata Knight Riders,Gujarat Titans
M213,2026,18-10-2026,Sawai Mansingh Stadium,Delhi Capitals,Punjab Kings,Delhi Capitals,Delhi Capitals
M214,2026,19-10-2026,Rajiv Gandhi Intl Stadium,Royal Challengers Bengaluru,Gujarat Titans,Gujarat Titans,Royal Challengers Bengaluru
M215,2026,20-10-2026,Arun Jaitley Stadium,Kolkata Knight Riders,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Kolkata Knight Riders
M216,2026,21-10-2026,Narendra Modi Stadium,Delhi Capitals,Lucknow Super Giants,Delhi Capitals,Delhi Capitals
M217,2026,22-10-2026,Eden Gardens,Mumbai Indians,Delhi Capitals,Delhi Capitals,Mumbai Indians
M218,2026,23-10-2026,Narendra Modi Stadium,Chennai Super Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Chennai Super Kings
M219,2026,24-10-2026,M Chinnaswamy Stadium,Delhi Capitals,Punjab Kings,Delhi Capitals,Delhi Capitals
M220,2026,25-10-2026,Rajiv Gandhi Intl Stadium,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders
M221,2026,26-10-2026,M. A. Chidambaram Stadium,Lucknow Super Giants,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Lucknow Super Giants
M222,2026,27-10-2026,Ekana Stadium,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad
M223,2026,28-10-2026,M. A. Chidambaram Stadium,Mumbai Indians,Delhi Capitals,Delhi Capitals,Mumbai Indians
M224,2026,29-10-2026,Narendra Modi Stadium,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,Punjab Kings
M225,2026,30-10-2026,Eden Gardens,Chennai Super Kings,Delhi Capitals,Delhi Capitals,Chennai Super Kings
M226,2026,31-10-2026,PCA Stadium,Mumbai Indians,Punjab Kings,Mumbai Indians,Mumbai Indians
M227,2026,01-11-2026,M Chinnaswamy Stadium,Royal Challengers Bengaluru,Sunrisers Hyderabad,Sunrisers Hyderabad,Royal Challengers Bengaluru
M228,2026,02-11-2026,Ekana Stadium,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,Lucknow Super Giants
M229,2026,03-11-2026,Wankhede Stadium,Punjab Kings,Rajasthan Royals,Punjab Kings,Punjab Kings
M230,2026,04-11-2026,Narendra Modi Stadium,Mumbai Indians,Lucknow Super Giants,Lucknow Super Giants,Mumbai Indians
M231,2026,05-11-2026,Sawai Mansingh Stadium,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders
M232,2026,06-11-2026,Eden Gardens,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad
M233,2026,07-11-2026,Sawai Mansingh Stadium,Mumbai Indians,Delhi Capitals,Mumbai Indians,Mumbai Indians
M234,2026,08-11-2026,Arun Jaitley Stadium,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,Mumbai Indians
M235,2026,09-11-2026,PCA Stadium,Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,Royal Challengers Bengaluru
M236,2026,10-11-2026,Wankhede Stadium,Delhi Capitals,Punjab Kings,Punjab Kings,Delhi Capitals
M237,2026,11-11-2026,Eden Gardens,Punjab Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Punjab Kings
M238,2026,12-11-2026,Ekana Stadium,Punjab Kings,Lucknow Super Giants,Punjab Kings,Punjab Kings
M239,2026,13-11-2026,M. A. Chidambaram Stadium,Gujarat Titans,Sunrisers Hyderabad,Gujarat Titans,Gujarat Titans
M240,2026,14-11-2026,Sawai Mansingh Stadium,Lucknow Super Giants,Delhi Capitals,Delhi Capitals,Lucknow Super Giants
M241,2026,15-11-2026,Rajiv Gandhi Intl Stadium,Lucknow Super Giants,Punjab Kings,Punjab Kings,Lucknow Super Giants
M242,2026,16-11-2026,M Chinnaswamy Stadium,Delhi Capitals,Chennai Super Kings,Delhi Capitals,Delhi Capitals
M243,2026,17-11-2026,M Chinnaswamy Stadium,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,Royal Challengers Bengaluru
M244,2026,18-11-2026,Wankhede Stadium,Rajasthan Royals,Gujarat Titans,Rajasthan Royals,Rajasthan Royals
M245,2026,19-11-2026,M. A. Chidambaram Stadium,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,Chennai Super Kings
M246,2026,20-11-2026,PCA Stadium,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,Delhi Capitals
M247,2026,21-11-2026,Eden Gardens,Gujarat Titans,Lucknow Super Giants,Lucknow Super Giants,Gujarat Titans
M248,2026,22-11-2026,Rajiv Gandhi Intl Stadium,Mumbai Indians,Delhi Capitals,Delhi Capitals,Mumbai Indians
M249,2026,23-11-2026,Wankhede Stadium,Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,Royal Challengers Bengaluru
M250,2026,24-11-2026,Arun Jaitley Stadium,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders
